song,artist,rank,lyrics
João 20 + Aqui Está,Luigi Natalino,410.920,"Abri a Bíblia em João 20 e me deparei Com Maria Madalena Chorando junto ao túmulo do Rei Maria levanta a sua cabeça Enxugando as suas lágrimas, seus olhos ela abriu Aonde estava o corpo do Mestre? Dois anjos Maria viu Que lhe perguntaram: Por que choras? Maria respondeu É que aí estava o corpo de meu menino Jesus Só que o corpo dEle desapareceu Então Maria anda pra trás Creio eu que já disposta a ir embora É quando o Mestre aparece E lhe pergunta: Maria, por que choras? Maria, por que me busca? Maria, faça-me um favor Não me procure dentre os mortos Porque vivo eu estou Vai lá e diga aos meus irmãos Pra começarem a sorrir Diga que não acabou Fala que a morte Eu venci Então Maria, sem perder tempo, foi Em direção aos discípulos ela correu E disse pra eles: Meninos, senta todo mundo aí E deixa eu contar como aconteceu O Cordeiro que se entregou Ressurgiu como um Leão Tomou a chave do inferno Com as Suas próprias mãos E houve um tremor na terra Que fez o silêncio cessar Não está na cruz, não está no túmulo Mas está presente aqui nesse lugar Sinto as mãos furadas me tocar Seus olhos em chamas me observar Venceu em vida, venceu a morte Por me amar, por me amar Sinto as mãos furadas me tocar Seus olhos em chamas me observar Não está na cruz, não está no túmulo Aqui está, aqui está O Cordeiro que se entregou Ressurgiu como um Leão Tomou a chave do inferno Com as Suas próprias mãos E houve um tremor na terra Que fez o silêncio cessar Não está na cruz, não está no túmulo Mas está presente nesse lugar Eu sinto as mãos furadas me tocar Seus olhos em chamas me observar Venceu em vida, venceu a morte Por me amar, por me amar Sinto as mãos furadas me tocar Seus olhos em chamas me observar Não está na cruz, não está no túmulo Aqui está, aqui está Sinto as mãos furadas me tocar Seus olhos em chamas me observar Venceu em vida, venceu a morte Por me amar, por me amar Sinto as mãos furadas me tocar Seus olhos em chamas me observar Não está na cruz, não está no túmulo Aqui está, aqui está Está vivo E reinará Vivo, vivo está "
Tua Presença,Paulo Neto (Gospel),2.646.917,"Entre no quarto e feche a porta Chegou a hora de falar com Deus Dobre os joelhos e sinta a presença Que toma todo esse lugar Sinta a glória de Deus Sinta a glória do Pai Não se detenha se as lágrimas rolarem E as batidas do seu coração acelerarem É Ele mexendo no secreto da gente O lugar que ninguém conhece Mas Ele viu e sabe curar Ele viu e sabe o remédio pra curar toda ferida Jesus, tua presença é o que eu mais quero Jesus, tua presença é o meu remédio Jesus, eu não quero ouro nem prata Só quero que cuides de mim Eita, que presença é essa? Presença que mexe e confronta Com tudo aqui dentro da gente Que causa arrepio na alma e a gente sente Jesus, que eu perca dinheiro e perca amigos Só não quero perder, tua presença Tua presença Tua presença Tua presença Tua presença Não se detenha se as lágrimas rolarem E as batidas do seu coração acelerarem É Ele mexendo no secreto da gente O lugar que ninguém conhece Mas Ele viu e sabe curar Ele viu e sabe o remédio pra curar toda ferida Jesus, tua presença é o que eu mais quero Jesus, tua presença é o meu remédio Jesus, eu não quero ouro nem prata Só quero que cuides de mim Eita, que presença é essa? Presença que mexe e confronta Com tudo aqui dentro da gente Que causa arrepio na alma e a gente sente Que eu perca dinheiro e perca amigos Só não quero perder, tua presença Jesus, tua presença é o que eu mais quero Jesus, tua presença é o meu remédio Jesus, que eu perca dinheiro e perca amigos Só não quero perder, tua presença Tua presença (Senhor, eu não posso perder a Tua presença, Pai) Tua presença Tua presença (Vem nos inundar com Tua presença, oh, Deus) Tua presença Tua presença, Tua presença (Oh vem, Senhor, queremos mais da Tua presença, Tua presença, Tua presença) "
Mary On A Cross,Ghost,1.775.476,"We were speeding together Down the dark avenues But besides all the stardom All we got was blues But through all the sorrow We've been riding high And the truth of the matter is I never let you go, let you go We were scanning the cities Rocking to pay their dues But besides all the glamour All we got was bruised But through all the sorrow We've been riding high And the truth of the matter is I never let you go, let you go You go down just like Holy Mary Mary on a, Mary on a cross Not just another Bloody Mary Mary on a, Mary on a cross If you choose to run away with me I will tickle you internally And I see nothing wrong with that We were searching for reasons To play by the rules But we quickly found out It was just for fools Now through all the sorrow We'll be riding high And the truth of the matter is I never let you go, let you go You go down just like Holy Mary Mary on a, Mary on a cross Not just another Bloody Mary Mary on a, Mary on a You go down just like Holy Mary Mary on a, Mary on a cross Your beauty never, ever scared me Mary on a, Mary on a cross If you choose to run away with me I will tickle you internally And I see nothing wrong with that (Mary on a, Mary on a cross) Nothing wrong with that (Mary on a, Mary on a cross) Nothing wrong with that (Mary on a, Mary on a cross) (Mary on a, Mary on a cross) "
Deus Proverá,Gabriela Gomes,3.369.081,"Eu posso até estar aflito, mas nunca derrotado Eu posso até chorar, eu posso até sofrer Mas o amanhã virá e minha fé será recompensada E o meu Deus não falha, não! Eu posso até estar ferido, mas nunca destruído Eu posso ser provado para ser aprovado Mas o amanhã virá e minha fé será recompensada E o meu Deus não falha, não! Não falha, não! Não vivo pela vista, não Eu vivo pela fé, então Deus proverá! Deus proverá! Olho para o alto, então Vem o socorro, sim! Deus proverá! Deus proverá! Eu posso até estar ferido, mas nunca destruído Eu posso ser provado para ser aprovado Mas o amanhã virá e minha fé será recompensada E o meu Deus não falha Ele não falha, Ele não falha não! Não vivo pela vista, não Eu vivo pela fé, então Deus proverá! Deus proverá! Olho para o alto, então Vem o socorro, sim! Deus proverá! Deus proverá! Não vivo pela vista, não Eu vivo pela fé, então Deus proverá! Deus proverá! Olho para o alto, então Vem o socorro, sim! Deus proverá! Deus proverá! Deus proverá! Ele proverá! Deus proverá quando o azeite e a farinha faltar Quando a minha força se esgotar, Deus proverá! Deus proverá! Mesmo cego, me faz enxergar Mesmo falho, me faz andar sobre as águas Deus proverá quando o azeite e a farinha faltar Quando a minha força se esgotar, Deus proverá! Deus proverá! Mesmo cego, me faz enxergar Mesmo falho, me faz andar sobre as águas Deus proverá quando o azeite e a farinha faltar Quando a minha força se esgotar, Deus proverá! Deus proverá! Mesmo cego, me faz enxergar Mesmo falho, me faz andar sobre as águas Não vivo pela vista, não Eu vivo pela fé, então Deus proverá! Deus proverá! Olho para o alto, então Vem o socorro, sim Deus proverá, Deus proverá! "
Deus É Deus,Delino Marçal,4.872.768,"Minha fé não está firmada Nas coisas que podes fazer Eu aprendi a Te adorar pelo que és Dele vêm o sim e o amém Somente Dele e mais ninguém A Deus seja o louvor Se Deus fizer, Ele é Deus Se não fizer, Ele é Deus Se a porta abrir, Ele é Deus Mas se fechar, continua sendo Deus Se a doença vier, Ele é Deus Se curado eu for, Ele é Deus Se tudo der certo, Ele é Deus Mas se não der, continua sendo Deus Minha fé não está firmada Nas coisas que podes fazer Eu aprendi a Te adorar pelo que és Dele vêm o sim e o amém Somente Dele e mais ninguém A Deus seja o louvor Se Deus fizer, Ele é Deus Se não fizer, Ele é Deus Se a porta abrir, Ele é Deus Mas se fechar, continua sendo Deus Se a doença vier, Ele é Deus Se curado eu for, Ele é Deus Se tudo der certo, Ele é Deus Mas se não der, continua sendo Deus Não O adoro pelo que Ele faz Eu O adoro pelo que Ele é Haja o que houver Sempre será Deus Não O adoro pelo que Ele faz Eu O adoro pelo que Ele é Haja o que houver Sempre será Deus Se Deus fizer, Ele é Deus Se não fizer, Ele é Deus Se a porta abrir, Ele é Deus Mas se fechar, continua sendo Deus Se a doença vier, Ele é Deus Se curado eu for, Ele é Deus Se tudo der certo, Ele é Deus Mas se não der, continua sendo Deus Deus é Deus Deus é Deus Deus é Deus Deus é Deus "
Você É Especial,Daniel & Samuel,2.177.860,"O que se perde pelo ar é folha e pó O que não serve pra usar, vagueia só E você não vive só Você é vaso de valor Quem já nasceu tem que entender que já venceu Teve o direito de crescer, aconteceu Isto eu já sei de cor Você é vaso de valor Você precisa acreditar Que quem é filho, é herdeiro E quem nasceu pra governar Deus usa até no cativeiro Esse tempo vai passar Não desista de orar Ele é fiel e verdadeiro E se você disser pra mim Que já foi vaso, está quebrado E por enquanto está assim Jogado aos cantos, encostado Eu prefiro insistir que o Oleiro está aqui Pra mudar o seu estado Você é especial Quem te deu a vida, destruiu a forma Não fez outro igual Você ainda não perdeu Você não é folha, você é alguém No coração de Deus Você precisa acreditar Que quem é filho, é herdeiro E quem nasceu pra governar Deus usa até no cativeiro Esse tempo vai passar Não desista de orar Ele é fiel e verdadeiro E se você disser pra mim Que já foi vaso, está quebrado E por enquanto está assim Jogado aos cantos, encostado Eu prefiro insistir que o Oleiro está aqui Pra mudar o seu estado Você é especial Quem te deu a vida, destruiu a forma Não fez outro igual Você ainda não perdeu Você não é folha, você é alguém No coração de Deus Você é especial Quem te deu a vida, destruiu a forma Não fez outro igual Você ainda não perdeu Você não é folha, você é alguém No coração de Deus É alguém no coração de Deus "
Car's Outside,James Arthur,1.408.655,"I'm packing my bags That I didn't unpack the last time I'm saying see you again So many times it's becoming my tag line But you know the truth I'd rather hold you Than try to catch this flight So many things I'd rather say But for now, it's goodbye You say I'm always leaving you When you're sleeping alone But the car's outside But I don't wanna go tonight I'm not getting in the Addison Lee Unless you pack your bags You're coming with me I'm tired of loving from afar And never being where you are Close the windows, lock the doors Don't wanna leave you anymore I'm staring at the same four walls In a different hotel It's an unfamiliar feeling But I know it so well Oh, but you know the truth I'd rather hold you Than this mobile in my hand But I guess it'll do 'Cause for you, I would run up my phone bill You say I'm always leaving you When you need me the most, but, darling But the car's outside But I don't wanna go tonight I'm not getting in the Addison Lee Unless you pack your bags You're coming with me I'm tired of loving from afar And never being where you are Close the windows, lock the doors Don't wanna leave you anymore Ooh, ooh, ah, ah Ooh, ooh, ah, ah Ooh, ooh, ah Don't wanna leave you anymore Oh, darling, all of the city lights Never shine as bright as your eyes I would trade them all for a minute more But the car's outside And he's called me twice But he's gonna have to wait tonight I'm not getting in the Addison Lee Unless you pack your bags You're coming with me I'm tired of loving from afar And never being where you are Close the windows, lock the doors Don't wanna leave you anymore Ooh, ooh, ah, ah Ooh, ooh, ah, ah Ooh, ooh, ah No, I don't wanna leave you anymore I don't wanna leave you (ooh, ooh, ah, ah) I don't wanna leave you (ooh, ooh, ah, ah) I don't wanna leave you (oh, ooh, ah) Don't wanna leave you anymore "
Set Fire To The Rain,Adele,12.640.600,"I let it fall, my heart And as it fell, you rose to claim it It was dark, and I was over Until you kissed my lips and you saved me My hands, they were strong But my knees were far too weak To stand in your arms Without falling to your feet But there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screaming out your name Your name When I lay with you I could stay there, close my eyes Feel you here forever You and me together, nothing gets better 'Cause there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screaming out your name Your name I set fire to the rain And I threw us into the flames When we fell, something died 'Cause I knew that that was the last time The last time Sometimes I wake up by the door That heart you caught must be waiting for you Even now, when we're already over I can't help myself from looking for you I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screaming out your name Your name I set fire to the rain And I threw us into the flames When we fell, something died 'Cause I knew that that was the last time The last time Oh, oh, no Let it burn Oh, oh, oh Let it burn Let it burn "
Cristo,Alessandro Vilas Boas,88.679,"Se passam os anos Eu não posso deixar de amá-lo Ainda é doce em meus lábios Teu nome Eu não posso deixar de amá-lo Ainda é doce em meus lábios Teu nome Ó, Espírito, abre os meus olhos outra vez Quero ver a beleza de Deus no Filho Ó, Espírito, abre os meus olhos outra vez Quero ver a beleza de Deus no Filho O segredo de Deus e o Seu saber procurei encontrar Persegui Sua glória, encontrei o Filho O segredo de Deus e o Seu saber procurei encontrar Persegui Sua glória Ó, Espírito, abre os meus olhos outra vez Quero ver a beleza de Deus no Filho Ó, Espírito, abre os meus olhos outra vez Quero ver a beleza de Deus no Filho Cristo, beleza de Deus Cristo, fonte de prazer Cristo, quero conhecer Cristo Cristo, beleza de Deus Cristo, fonte de prazer Cristo, quero conhecer Cristo Cristo, beleza de Deus Cristo, fonte de prazer Cristo, quero conhecer Cristo Qual a beleza que existe em Ti que eu ainda não vi? Qual a beleza que existe em Ti que eu ainda não vi? Qual a beleza que existe em Ti que eu ainda não vi? Qual a beleza que existe em Ti que eu ainda não vi? Qual a beleza que existe em Ti que eu ainda não vi? Qual a beleza que existe em Ti que eu ainda não vi? Qual a beleza que existe em Ti que eu ainda não vi? Ó, Espírito, abre os meus olhos outra vez Quero ver a beleza de Deus no Filho Ó, Espírito, abre os meus olhos outra vez Quero ver a beleza de Deus no Filho Cristo, beleza de Deus Cristo, fonte de prazer Cristo, quero conhecer Cristo Qual a beleza que existe em Ti que eu ainda não vi? Qual a beleza que existe em Ti que eu ainda não vi? Cristo Cristo é tudo que Deus pode nos dar Cristo, Cristo A beleza revelada do Pai Cristo é tudo que Deus pode nos dar Cristo, Cristo A beleza revelada do Pai Cristo, Cristo Cristo é tudo que Deus pode nos dar Cristo, Cristo A beleza revelada do Pai Cristo é tudo que Deus pode nos dar Cristo é tudo que Deus pode nos dar Cristo, Cristo A beleza revelada do Pai Cristo, Cristo A beleza revelada do Pai Cristo, Cristo "
La Vie En Rose,Édith Piaf,4.511.044,"Des yeux qui font baisser les miens Un rire qui se perd sur sa bouche Voilà le portrait sans retouche De l'homme auquel j'appartiens Quand il me prend dans ses bras Qu'il me parle tout bas Je vois la vie en rose Il me dit des mots d'amour Des mots de tous les jours Et ça me fait quelque chose Il est entré dans mon cœur Une part de bonheur Donc je connais la cause C'est lui pour moi Moi pour lui Dans la vie Il me l'a dit, l'a juré Pour la vie Et dès que je l'aperçois Alors je sens en moi Mon coeur qui bat Des nuits d'amour à plus finir Un grand bonheur qui prend sa place Des ennuis des chagrins s'effacent Heureux, heureux à mourir Quand il me prend dans ses bras Qu'il me parle tout bas Je vois la vie en rose Il me dit des mots d'amour Des mots de tous les jours Et ça me fait quelque chose Il est entré dans mon cœur Une part de bonheur Donc je connais la cause C'est toi pour moi Moi pour toi Dans la vie Tu me l'a dit, m'a juré Pour la vie Et dès que je l'aperçois Alors je sens en moi Mon coeur qui bat "
we can't be friends (wait for your love),Ariana Grande,766.504,"I didn't think you'd understand me How could you ever even try? I don't wanna tiptoe, but I don't wanna hide But I don't wanna feed this monstrous fire Just wanna let this story die And I'll be alright We can't be friends But I'd like to just pretend You cling to your papers and pens Wait until you like me again Wait for your love My love, I'll wait for your love Me and my truth, we sit in silence, mmm Baby girl, it's just me and you 'Cause I don't wanna argue, but I don't wanna bite My tongue, yeah, I think I'd rather die You got me misunderstood, but at least I look this good We can't be friends But I'd like to just pretend You cling to your papers and pens Wait until you like me again Wait for your love My love, I'll wait for your love I'll wait for your love My love, I'll wait for your love Know that you made me I don't like how you paint me, yet I'm still here hanging Not what you made me It's something like a daydream But I feel so seen in the night So for now it's only me And maybe that's all I need We can't be friends But I'd like to just pretend You cling to your papers and pens Wait until you like me again Wait for your love My love, I'll wait for your love I'll wait for your love My love, I'll wait for your love I'll wait for your love I'll wait for your love I'll wait for your love I'll wait for your love I'll wait for your love "
Não Mais Escravos,Fernandinho,717.206,"Com uma melodia, Ele me encontrou Me cercou com uma canção Que me libertou dos meus inimigos Dos meus medos me salvou Eu não sou mais escravo do medo Eu sou filho de Deus Eu não sou mais escravo do medo Eu sou filho de Deus Antes de nascer, escolhido fui Por meu nome me chamou De novo nasci em Sua família O Seu sangue me comprou Eu não sou mais escravo do medo Eu sou filho de Deus Eu não sou mais escravo do medo Eu sou filho de Deus Eu não sou mais escravo do medo Eu sou filho de Deus Eu não sou mais escravo do medo Eu sou filho de Deus Abriu o mar pra eu passar por ele Perfeito amor que me alcançou Me resgatou e agora posso cantar Eu sou filho de Deus Abriu o mar pra eu passar por ele Perfeito amor que me alcançou Me resgatou e agora posso cantar Eu sou filho de Deus Eu sou filho de Deus Eu sou filho de Deus Eu sou filho de Deus Eu sou filho de Deus Eu não sou mais escravo do medo Eu sou filho de Deus Eu não sou mais escravo do medo Eu sou filho de Deus "
"Cristo, a Fonte Escondida",Harpa Cristã,688.746,"Cristo nos deu uma fonte escondida Que qualquer sede pode estancar E cujas águas repletas de vida Sempre de graça nos hão de fartar Água sairá, viva manará Da fonte que abriu o Senhor, água correrá Se todos quiserem beber, não se esgotará Milhares de milhares venham, sempre sairá Há muitas fontes de gozo no mundo E nelas os homens vão sempre beber Mas são cisternas e poços imundos Que águas vivas não podem conter Água sairá, viva manará Da fonte que abriu o Senhor, água correrá Se todos quiserem beber, não se esgotará Milhares de milhares venham, sempre sairá Já muitos homens gastaram dinheiro Sem a fonte de Deus encontrar Mas Jesus Cristo é nosso roteiro Que para a fonte nos há de guiar Água sairá, viva manará Da fonte que abriu o Senhor, água correrá Se todos quiserem beber, não se esgotará Milhares de milhares venham, sempre sairá Oh, aleluia ao bom Pai supremo Pelas bênçãos que a todos quer dar E pela fonte de paz que nós temos Em nosso ser, para nos alegrar Água sairá, viva manará Da fonte que abriu o Senhor, água correrá Se todos quiserem beber, não se esgotará Milhares de milhares venham, sempre sairá "
From The Start,Laufey,364.902,"Don't you notice how I get quiet when there's no one else around? Me and you and awkward silence Don't you dare look at me that way I don't need reminders of how you don't feel the same Oh, the burning pain Listening to you harp on 'bout some new soulmate She's so perfect, blah, blah, blah Oh, how I wish you'll wake up one day Run to me, confess your love, at least just let me say That when I talk to you Oh, Cupid walks right through And shoots an arrow through my heart And I sound like a loon But don't you feel it, too? Confess I loved you from the start What's a girl to do? Lying on my bed staring into the blue Unrequited, terrifying Love is driving me a bit insane Have to get this off my chest, I'm telling you today That when I talk to you Oh, Cupid walks right through And shoots an arrow through my heart And I sound like a loon But don't you feel it, too? Confess I loved you from the start Confess I loved you Just thinking of you I know I've loved you from the start "
Meia Noite,Florianópolis House Of Prayer (fhop music),96.869,"Um dia, o Filho do Homem retornará Com muito poder e glória Ele reinará Mas quanto ao dia e a hora, quem saberá? Nem os anjos do céu, nem o Filho, somente o Pai Então vigiai e orai Logo se ouvirá um grito Eis o Noivo sobre os montes Logo se ouvirá um grito Vamos ao Seu encontro Vamos ao Seu encontro Quando a meia-noite chegar, é necessário estar Com a chama acesa O Filho do Homem virá, será que encontrará Fé na Terra, fé na Terra? Um dia, o Filho do Homem retornará Com muito poder e glória Ele reinará Uh, uh, uh Mas quanto ao dia e a hora, quem saberá? Nem os anjos do céu, nem o Filho, somente o Pai Então vigiai e orai Logo se ouvirá um grito Eis o Noivo sobre os montes Logo se ouvirá um grito Vamos ao Seu encontro Vamos ao Seu encontro Quando a meia-noite chegar, é necessário estar Com a chama acesa O Filho do Homem virá, será que encontrará Fé na Terra, fé na Terra? Que a chama não se apague Que a chama não se apague Que a chama não se apague Que a chama não se apague (Que a chama) não deixe o óleo acabar, não deixe o óleo acabar (Não se apague) não deixe o óleo acabar, não deixe o óleo acabar (Que a chama) não deixe o óleo acabar, não deixe o óleo acabar (Não se apague) não deixe o óleo acabar Quando a meia-noite chegar, é necessário estar Com a chama acesa O Filho do Homem virá, será que encontrará Fé na Terra, fé na Terra? "
Lover,Taylor Swift,2.882.541,"We could leave the Christmas lights up till January This is our place, we make the rules And there's a dazzling haze, a mysterious way about you, dear Have I known you 20 seconds or 20 years? Can I go where you go? Can we always be this close, forever and ever? And ah, take me out, and take me home You're my, my, my, my Lover We could let our friends crash in the living room This is our place, we make the call And I'm highly suspicious that everyone who sees you wants you I've loved you three summers now, honey, but I want 'em all Can I go where you go? Can we always be this close, forever and ever? And ah, take me out, and take me home (forever and ever) You're my, my, my, my Lover Ladies and gentlemen, will you, please, stand? With every guitar string scar on my hand I take this magnetic force of a man to be my lover My heart's been borrowed and yours has been blue All's well that ends well to end up with you Swear to be overdramatic and true to my lover And you'll save all your dirtiest jokes for me And at every table, I'll save you a seat, lover Can I go where you go? Can we always be this close, forever and ever? And ah, take me out, and take me home (forever and ever) You're my, my, my, my Oh, you're my, my, my, my Darling, you're my, my, my, my Lover "
Congratulations (feat. Quavo),Post Malone,1.942.062,"[Post Malone] Yeah, yeah Yeah My mama called: Seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say congratulations Worked so hard, forgot how to vacation They ain't never had the dedication People hatin', say we changed, and look, we made it Yeah, we made it They was never friendly, yeah Now I'm jumping out the Bentley, yeah And I know I sound dramatic, yeah But I knew I had to have it, yeah For the money, I'm a savage, yeah I be itching like an addict, yeah I'm surrounded twenty bad bitch, yeah But they didn't know me last year, yeah Everyone wanna act like they important (Yeah-yeah-yeah, yeah-yeah-yeah) But all that mean nothing when I saw my dog (Yeah-yeah-yeah, yeah-yeah-yeah) Everyone counting on me drop the ball (Yeah-yeah-yeah, yeah-yeah-yeah) Everything custom like I'm at the bottom, yeah, yeah If you fuck with winning, put your lighters to the sky How could I make cents when I got millions on my mind? Coming with that bullshit, I just put it to the side Balling since a baby, they could see it in my eyes My mama called: Seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say congratulations (congratulations) Worked so hard, forgot how to vacation They ain't never had the dedication People hatin', say we changed, and look, we made it Yeah, we made it [Quavo] I was patient, yeah, oh I was patient, ay, oh Now I can scream that we made it (we made it!) Now everyone, everywhere I go, they say 'gratulations Young nigga, young nigga, graduation (yeah) I pick up the rock and I ball, baby (ball) I'm looking for someone to call, baby (brrr) But right now I got a situation Never old, been Ben Franklins (cash) Big rings (woo), champagne (champagne) My life is like a ball game (ball game) But instead I'm in the trap, though (trap, though) Pot so big, call it Super Bowl (Super Bowl, woo) Super Bowl, call the hoes (brrr), get in the Rolls (skrrt) Top floor lifestyle (top), Huncho and Post (yeah, ay) Malone, I got a play on my phone, ay You know what I'm on, ay Huncho Houdini is gone, ay [Post Malone] My mama called: Seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say congratulations (ay) Worked so hard, forgot how to vacation They ain't never had the dedication People hatin', say we changed, and look, we made it (yeah) Yeah, we made it (oh) "
Meu Novo Mundo,Charlie Brown Jr.,5.740.087,"Como se o silêncio dissesse tudo Um sentimento bom que me leva pra outro mundo A vontade de te ver já é maior que tudo Não existem distâncias no meu novo mundo Tipo coisas da sétima arte Aconteceu sem que eu imaginasse Sonho de consumo cantar na sua festa Vem dançar comigo, aproveita e me sequestra Amor vagabundo, intenso ou muita pressa Não sei como termina, mas sei como começa Fiz essa canção pra dizer algumas coisas Cuidado com o destino, ele brinca com as pessoas Tipo uma foto com sorriso inocente Mas a vida tinha um plano e separou a gente Mas se quem eu amo tem amor por mim Se quem eu amo tem amor por mim Eu sei que ainda estamos muito longe do fim A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo Fiz essa canção pra dizer algumas coisas Cuidado com o destino, ele brinca com as pessoas Tipo uma foto com sorriso inocente Mas a vida tinha um plano e separou a gente Mas se quem eu amo tem amor por mim Se quem eu amo tem amor por mim Eu sei que ainda estamos muito longe do fim A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo "
Pelos Prados e Campinas,Padre Zezinho,1.319.707,"Pelos prados e campinas, verdejantes, eu vou É o Senhor que me leva a descansar Junto às fontes de águas puras, repousantes, eu vou Minhas forças o Senhor vai animar Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! Nos caminhos mais seguros, junto d'Ele, eu vou E pra sempre o Seu nome eu honrarei Se eu encontro mil abismos, nos caminhos, eu vou Segurança sempre tenho em Suas mãos Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! Ao banquete em sua casa, muito alegre, eu vou Um lugar em Sua mesa me preparou Ele unge minha fronte e me faz ser feliz E transborda a minha taça em Seu amor Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! Bem a frente do inimigo, confiante, eu vou Tenho sempre o Senhor junto de mim Seu cajado me protege e eu jamais temerei Sempre junto do Senhor eu estarei Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! Tu és, Senhor, o meu pastor Por isso nada em minha vida faltará! "
Talking To The Moon,Bruno Mars,10.016.676,"I know you're somewhere out there Somewhere far away I want you back I want you back My neighbors think I'm crazy But they don't understand You're all I had You're all I had At night when the stars light up my room I sit by myself Talking to the Moon Try'na get to you In hopes you're on the other side Talking to me too Or am I a fool who sits alone Talking to the Moon? Oh, oh I'm feeling like I'm famous The talk of the town They say I've gone mad Yeah, I've gone mad But they don't know what I know 'Cause when the Sun goes down Someone's talking back Yeah, they're talking back, oh At night when the stars light up my room I sit by myself Talking to the Moon Try'na get to you In hopes you're on the other side Talking to me too Or am I a fool who sits alone Talking to the Moon? Ah, ah, ah Do you ever hear me calling? Oh-oh-oh, oh-oh-oh (ah, ah, ah) 'Cause every night I'm talking to the Moon Still trying to get to you In hopes you're on the other side Talking to me too Or am I a fool who sits alone Talking to the Moon? Oh, oh I know you're somewhere out there Somewhere far away "
Autor da Vida,Aline Barros,1.284.645,"Tentaram me parar, me fazer desistir Mas eu não vou negar a fé que há em mim Eu tenho a missão, eu vou seguir Jesus Porque eu não abro mão do evangelho da cruz Mesmo que pedras venham contra mim E com palavras queiram me intimidar Maior é Aquele que está em mim Com Jesus sempre vou me levantar Eu olho pra Jesus, pro amor de Deus na cruz Eu clamo Aba Pai, ó, vem com Seu poder Eu olho pra Jesus, pro amor de Deus na cruz Nada pode parar o Autor da vida Mesmo que pedras venham contra mim E com palavras queiram me intimidar Maior é Aquele que está em mim Com Jesus sempre vou me levantar Eu olho pra Jesus, pro amor de Deus na cruz Eu clamo Aba Pai, ó, vem com Seu poder Eu olho pra Jesus, pro amor de Deus na cruz Nada pode parar o Autor da vida Pode o silêncio até Gritar que Deus me abandonou Eu vivo pela fé E tenho um Deus que estende a mão Pra me levantar Sei em quem eu tenho crido E que é Poderoso pra fazer além E essa é a hora! Deus toca, renova, transforma Tenho vida em Deus, vida em Deus Tenho força em Deus, esperança em Deus Tenho tudo em Deus Eu olho pra Jesus, pro amor de Deus na cruz Eu clamo Aba Pai, ó, vem com Seu poder Eu olho pra Jesus, pro amor de Deus naquela cruz Nada pode parar o Autor da vida "
I Will Always Love You,Whitney Houston,5.749.436,"If I should stay I would only be in your way So I will go, but I know I'll think of you every step of the way And I will always love you I will always love you You, my darling, you Bittersweet memories That is all I'm taking with me So goodbye, please, don't cry We both know I'm not what you, you need And I will always love you I will always love you, oh I hope life treats you kind And I hope you'll have all you've dreamed of And I wished you joy and happiness But above all this, I wish you love And I will always love you I will always love you I will always love you I will always love you I will always love you I, I will always love you, you Darling, I love you I'll always, I'll always love you "
